,Rank,Song,Artist,Year,Lyrics
11,13,the birds and the bees,jewel akens,1965,let me tell ya bout the birds and the bees and the flowers and the trees and the moon up above and a thing called love let me tell ya bout the stars in the sky and a girl and a guy and the way they could kiss on a night like this when i look into your big brown eyes its so very plain to see that its time you learned about the facts of life starting from a to z let me tell ya bout the birds and the bees and the flowers and the trees and the moon up above and a thing called love yeah when i look into your big brown eyes its so very plain to see that its time you learned about the facts of life starting from a to z let me tell ya bout the birds and the bees and the flowers and the trees and the moon up above and a thing called love let me tell ya bout the birds and the bees and the flowers and the trees and the birds and the bees and the flowers and the trees bout the birds and the bees and the bees and the bees 
12,14,hold me thrill me kiss me,mel carter,1965, hold me hold me never let me go until youve told me told me what i want to know and then just hold me hold me make me tell you im in love with you thrill me thrill me thrill me thrill me walk me down the lane where shadows will be will be will be will be hiding lovers just the same as well be well be when you make me tell you i love you they told me be sensible with your new love dont be fooled thinking this is the last youll find but they never stood in the dark with you love when you take me in your arms and drive me slowly out of my mind kiss me kiss me kiss me kiss me and when you do ill know that you will miss me miss me miss me miss me if we ever say adieu so kiss me kiss me make me tell you im in love with you kiss me kiss me kiss me kiss me when you do ill know that you will miss me miss me miss me miss me if we ever say adieu so kiss me kiss me make me tell you im in love with you hold me thrill me never never never let me go never never never let me go hold me thrill me never never never let me go never never never let me go fade 
13,15,shotgun,junior walker  the all stars,1965,i said ̢shotgun shoot em for he runs now do the jerk baby do the jerk now hey̢ put on your red dress and then you go downtown now i said ̢buy yourself a shotgun now were gonna break it down baby now were gonna load it up baby now and then you shoot him for he runs now̢ shotgun shoot em for he runs now do the jerk baby do the jerk now hey put on your high heels shoes i said were goin down here listen to em play blues were gonna dig potatoes were gonna pick tomatoes i said ̢shotgun shoot em for he runs now do the jerk baby do the jerk now hey̢ i said ̢its twine time̢ i said ̢its twine time̢ i said ̢its twine time̢ hey
14,16,i got you babe,sonny  cher,1965,they say were young and we dont know we wont find out until we grow well i dont know if all thats true cause you got me and baby i got you babe i got you babe i got you babe they say our love wont pay the rent before its earned our moneys all been spent i guess thats so we dont have a pot but at least im sure of all the things we got babe i got you babe i got you babe i got flowers in the spring i got you to wear my ring and when im sad youre a clown and if i get scared youre always around dont let them tell your hairs too long cause i dont care with you i cant go wrong then put your little hand in mine there aint no hill or mountain we cant climb babe i got you babe i got you babe i got you to hold my hand i got you to understand i got you to walk with me i got you to talk with me i got you to kiss goodnight i got you to hold me tight i got you i wont let go i got you to love me so i got you babe i got you babe i got you babe 
15,17,this diamond ring,gary lewis  the playboys,1965,who wants to buy this diamond ring she took it off her finger now it doesnt mean a thing this diamond ring doesnt shine for me anymore and this diamond ring doesnt mean what it did before so if youve got someone whose love is true let it shine for you this stone is genuine like love should be and if your babys truer than my baby was to me this diamond ring can mean something beautiful and this diamond ring can mean dreams that are coming true and then your heart wont have to break like mine did if theres love behind it this diamond ring can mean something beautiful and this diamond ring can be dreams that are coming true and then your heart wont have to break like mine did if theres love behind it this diamond ring doesnt shine for me anymore and this diamond ring doesnt mean what it did before so if youve got someone whose love is true let it shine for you
16,19,mrs brown youve got a lovely daughter,hermans hermits,1965, mrs brown youve got a lovely daughter girls as sharp as her are somethin rare but its sad she doesnt love me now shes made it clear enough it aint no good to pineshe wants to return those things i bought her tell her she can keep them just the same things have changed she doesnt love me now shes made it clear enough it aint no good to callwalkin about even in a crowd well youll pick her out makes a bloke feel so proudif she finds that ive been round to see you tell her that im well and feelin fine dont let on dont say she broke my heart id go down on my knees but its no good to pinewalkin about even in a crowd well youll pick her out makes a bloke feel so proudif she finds that ive been round to see you tell her that im well and feelin fine dont let on dont say she broke my heart id go down on my knees but its no good to pinemrs brown youve got a lovely daughter mrs brown youve got a lovely daughter mrs brown youve got a lovely daughter  
17,20,stop in the name of love,the supremes,1965, stop in the name of love before you break my heartbaby baby im aware of where you go each time you leave my door i watch you walk down the street knowing your other love youll meet but this time before you run to her leaving me alone and hurt think it over after ive been good to you think it over after ive been sweet to youstop in the name of love before you break my heart stop in the name of love before you break my heart think it over think it overive known of your your secluded nights ive even seen her maybe once or twice but is her sweet expression worth more than my love and affection but this time before you leave my arms and rush off to her charms think it over havent i been good to you think it over havent i been sweet to youstop in the name of love before you break my heart stop in the name of love before you break my heart think it over think it overive tried so hard hard to be patient hoping youd stop this infatuation but each time you are together im so afraid ill be losing you foreverstop in the name of love before you break my heart stop in the name of love before you break my heart stop in the name of love 
18,2,cherish,the association,1966,cherish is the word i use to describe all the feeling that i have hiding here for you inside you dont know how many times ive wished that i had told you you dont know how many times ive wished that i could hold you you dont know how many times ive wished that i could mold you into someone who could cherish me as much as i cherish you perish is the word that more than applies to the hope in my heart each time i realize that i am not gonna be the one to share your dreams that i am not gonna be the one to share your schemes that i am not gonna be the one to share what seems to be the life that you could cherish as much as i do yours oh im beginning to think that man has never found the words that could make you want me that have the right amount of letters just the right sound that could make you hear make you see that you are drivin me out of my mind oh i could say i need you but then youd realize that i want you just like a thousand other guys whod say they loved you with all the rest of their lies when all they wanted was to touch your face your hands and gaze into your eyes cherish is the word i use to describe all the feeling that i have hiding here for you inside you dont know how many times ive wished that i had told you you dont know how many times ive wished that i could hold you you dont know how many times ive wished that i could mold you into someone who could cherish me as much as i cherish you and i do cherish you and i do cherish you cherish is the word
19,3,youre my soul and inspiration,the righteous brothers,1966, girl i cant let you do this let you walk away girl how can i live through this when youre all i wake up for each daybaby youre my soul and my lifes inspiration youre all ive got to get me by youre my soul and my inspiration without you baby what good am ii never had much goin but at least i had you how can you walk out knowin i aint got nothin left if you dobaby youre my soul and my lifes inspiration youre all ive got to get me by youre my soul and my inspiration without you baby what good am i oh what good am ibaby i cant make it withoutcha and im tellin ya honey youre my reason for laughin for cryin for livin and for dyinbaby i cant make it without you please im beggin you baby if you go it will kill me i swear it girl i just cant bear ityoure my soul and my lifes inspiration youre all ive got to get me by youre my soul and my inspiration without you baby what good am i oh what good am iyoure my soul and my lifes inspiration youre all ive got all ive got to get by soul inspiration oh baby im beggin you baby 
20,4,reach out ill be there,the four tops,1966, now if you feel that you cant go on because all of your hope is gone and your life is filled with much confusion until happiness is just an illusion and your world around is crumblin down darling reach out come on girl reach on out for me reach out reach out for me ill be there with a love that will shelter you ill be there with a love that will see you throughwhen you feel lost and about to give up cause your best just aint good enough and you feel the world has grown cold and youre drifting out all on your own and you need a hand to hold darling reach out come on girl reach out for me reach out reach out for me ill be there to love and comfort you and ill be there to cherish and care for you ill be there with a love that will see you through ill be there to love and comfort youi can tell the way you hang your head youre without love and now youre afraid and through your tears you look around but theres no peace of mind to be found i know what youre thinkin youre alone now no love of your own but darling reach out come on girl reach out for me reach out just look over your shoulder ill be there to give you all the love you need and ill be there you can always depend on me 
21,5,96 tears,  the mysterians,1966,  the mysterians miscellaneous 96 tears too many teardrops for one heart to be cryin too many teardrops for one heart to carry on youre way on top now since you left me youre always laughin way down at me but watch out now im gonna get there well be together for just a little while and then im gonna put you way down here and youll start cryin ninetysix tears cry cry and when the sun comes up ill be on top youll be way down there lookin up and i might wave come up here but i dont see you wavin now im way down here wonderin how im gonna get you but i know now ill just cry cry ill just cry too many teardrops for one heart to be cryin too many teardrops for one heart to carry on youre gonna cry  ninetysix tears youre gonna cry  ninetysix tears youre gonna cry  cry cry cry now youre gonna cry  cry cry cry ninetysix tears  cmon and lemme hear you cry now ninetysix tears whoo   i wanna hear you cry night and day yeah all night long uhninetysix tears    cry cry cry cmon baby let me hear you cry now all night long uhninetysix tears  yeah  cmon now uhninetysix tears fade
22,6,last train to clarksville,the monkees,1966,take the last train to clarksville and ill meet you at the station you can be be here by four thirty cause ive made your reservation dont be slow oh no no no oh no no no cause im leavin in the morning and i must see you again well have one more night together til the morning brings my train and i must go oh no no no oh no no no and i dont know if im ever coming home take the last train to clarksville ill be waiting at the station well have time for coffee flavored kisses and a bit of conversation oh no no no oh no no no take the last train to clarksville now i must hang up the phone i cant hear you in this noisy railroad station all alone im feelin low oh no no no oh no no no and i dont know if im ever coming home take the last train to clarksville and ill meet you at the station you can be be here by four thirty cause i made your reservation dont be slow oh no no no oh no no no and i dont know if im ever coming home take the last train to clarksville take the last train to clarksville take the last train to clarksville take the last train to clarksville
23,7,monday monday,the mamas  the papas,1966,monday monday so good to me monday morning it was all i hoped it would be oh monday morning monday morning couldnt guarantee that monday evening you would still be here with me monday monday cant trust that day monday monday sometimes it just turns out that way oh monday morning you gave me no warning of what was to be oh monday monday how could you leave and not take me every other day every other day every other day of the week is fine yeah but whenever monday comes but whenever monday comes you can find me crying all of the time monday monday so good to me monday morning it was all i hoped it would be but monday morning monday morning couldnt guarantee that monday evening you would still be here with me every other day every other day every other day of the week is fine yeah but whenever monday comes but whenever monday comes you can find me crying all of the time monday monday cant trust that day monday monday it just turns out that way oh monday monday wont go away monday monday its here to stay oh monday monday oh monday monday oh
24,8,you cant hurry love,the supremes,1966, i need love love to ease my mind i need to find find someone to call mine but mama saidyou cant hurry love no you just have to wait she said love dont come easy its a game of give and takeyou cant hurry love no you just have to wait you got to trust give it time no matter how long it takesbut how many heartaches must i stand before i find a love to let me live again right now the only thing that keeps me hangin on when i feel my strength yeah is almost gone i remember mama saidyou cant hurry love no you just have to wait she said love dont come easy its a game of give and takehow long must i wait how much more can i take before loneliness will cause my heart heart to breakno i cant bear to live my life alone i grow impatient for a love to call my own but when i feel that i i cant go on these precious words keeps me hangin on i remember mama saidyou cant hurry love no you just have to wait she said love dont come easy its a game of give and takeyou cant hurry love no you just have to wait she said trust give it time no matter how long it takesno love love dont come easy but i keep on waiting anticipating for that soft voice to talk to me at night for some tender arms to hold me tighti keep waiting i keep on waiting but it aint easy it aint easy but mama saidyou cant hurry love no you just have to wait she said to trust give it time no matter how long it takesyou cant hurry love no you just have to wait she said love dont come easy its a game of give and take 
25,9,poor side of town,johnny rivers,1966, how can you tell me how much you miss me when the last time i saw you you wouldnt even kiss me that rich guy youve been seein must have put you down so welcome back baby to the poor side of townto him you were nothin but a little plaything not much more than an overnight fling to me you were the greatest thing this boy had ever found and girl its hard to find nice things on the poor side of towni cant blame you for tryin im tryin to make it too ive got one little hang up baby i just cant make it without youso tell me are you gonna stay now will you stand by me girl all the way now oh with you by my side they just cant keep us down together we can make it girl from the poor side of townso tell me how much you love me come be near to me and say you need me nowoh with you by my side this world cant keep us down together we can make it baby from the poor side of town 
26,10,california dreamin,the mamas  the papas,1966,all the leaves are brown and the sky is grey ive been for a walk on a winters day id be safe and warm if i was in la california dreamin on such a winters day stepped into a church i passed along the way well i get down on my knees and i pretend to pray you know the preacher likes the cold he knows im gonna stay california california dreamin on such a winters day all the leaves are brown and the sky is grey ive been for a walk on a winters day if i didnt tell her i could leave today california california dreamin on such a winters day california dreamin california dreamin california dreamin
27,11,summer in the city,lovin spoonful,1966, hot town summer in the city back of my neck getting dirty and gritty been down isnt it a pity doesnt seem to be a shadow in the cityall around people looking half dead walking on the sidewalk hotter than a match headbut at night its a different world go out and find a girl comeon comeon and dance all night despite the heat itll be alrightand babe dont you know its a pity that the days cant be like the nights in the summer in the city in the summer in the citycool town evening in the city dressing so fine and looking so pretty cool cat looking for a kitty gonna look in every corner of the city till im wheezing like a bus stop running up the stairs gonna meet you on the rooftopbut at night its a different world go out and find a girl comeon comeon and dance all night despite the heat itll be alrightand babe dont you know its a pity that the days cant be like the nights in the summer in the city in the summer in the cityhot town summer in the city back of my neck getting dirty and gritty been down isnt it a pity doesnt seem to be a shadow in the cityall around people looking half dead walking on the sidewalk hotter than a match headbut at night its a different world go out and find a girl comeon comeon and dance all night despite the heat itll be alrightand babe dont you know its a pity that the days cant be like the nights in the summer in the city in the summer in the city 
28,12,born free,roger williams,1966,born free as free as the wind blows as free as the grass grows born free to follow your heart live free and beauty surrounds you the world still astounds you each time you look at a star stay free where no walls divide you youre free as the roaring tide so theres no need to hide born free and life is worth living but only worth living cause youre born free born free born free born free
29,13,these boots are made for walkin,nancy sinatra,1966, you keep saying you got something for me something you call love but confess youve been amessin where you shouldnt ve been amessin and now someone else is getting all your bestthese boots are made for walking and thats just what theyll do one of these days these boots are gonna walk all over youyou keep lyin when you oughta be truthin you keep losing when you oughta not bet you keep samin when you oughta be achangin now whats right is right but you aint been right yetthese boots are made for walking and thats just what theyll do one of these days these boots are gonna walk all over youyou keep playing where you shouldnt be playing and you keep thinking that youll never get burnt hah i just found me a brand new box of matches yeah and what he knows you aint had time to learn these boots are made for walking and thats just what theyll do one of these days these boots are gonna walk all over youare you ready boots start walkin 
30,14,what becomes of the brokenhearted,jimmy ruffin,1966, as i walk this land with broken dreams i have visions of many things loves happiness is just an illusion filled with sadness and confusion what becomes of the broken hearted who had love thats now departed i know ive got to find some kind of peace of mind maybe the fruits of love grow all around but for me they come a tumblin down every day heartaches grow a little stronger i cant stand this pain much longer i walk in shadows searching for light cold and alone no comfort in sight hoping and praying for someone to care always moving and goin to where what becomes of the broken hearted who had love thats now departed i know ive got to find some kind of peace of mind maybe im searching though i dont succeed but someone look theres a growing need oh he is lost theres no place for beginning all thats left is an unhappy ending now whats become of the brokenhearted who had love thats now departed i know ive got to find some kind of peace of mind ill be searching everywhere just to find someone to care ill be looking everyday i know im gonna find a way nothings gonna stop me now ill find a way somehow ill be searching everywhere 
31,15,strangers in the night,frank sinatra,1966, strangers in the night exchanging glances wondering in the night what were the chances wed be sharing love before the night was through something in your eyes was so inviting something in your smile was so exciting something in my heart told me i must have youstrangers in the night two lonely people we were strangers in the night up to the moment when we said our first hello little did we know love was just a glance away a warm embracing dance away and ever since that night weve been together lovers at first sight in love forever it turned out so right for strangers in the nightlove was just a glance away a warm embracing dance away ever since that night weve been together lovers at first sight in love forever it turned out so right for strangers in the nightdoobeedoobeedoo doodoodeedah dahdahdahdahdah 
32,16,we can work it out,the beatles,1966,try to see it my way do i have to keep on talking till i cant go on while you see it your way run the risk of knowing that our love may soon be gone we can work it out we can work it out think of what youre saying you can get it wrong and still you think that its all right think of what im saying we can work it out and get it straight or say good night we can work it out we can work it out life is very short and theres no time for fussing and fighting my friend i have always thought that its a crime so i will ask you once again try to see it my way only time will tell if i am right or i am wrong while you see it your way theres a chance that we might fall apart before too long we can work it out we can work it out life is very short and theres no time for fussing and fighting my friend i have always thought that its a crime so i will ask you once again try to see it my way only time will tell if i am right or i am wrong while you see it your way theres a chance that we might fall apart before too long we can work it out we can work it out
33,17,good lovin,the young rascals,1966,good lovin good lovin good lovin good lovin i was feelin so bad i asked my family doctor just what i had i said doctor mr md now can you tell me whats ailin me̢ he said yeah yeah yeah yeah yeah yes indeed all i i really need good lovin now gimme that good good lovin good lovin all i need is lovin good lovin good good lovin baby good lovin honey please squeeze me tight dont you want your baby to be all right i said baby now its for sure i got the fever yeah and you got the cure unverified yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yes indeed all i really need good lovin cmon gimme that lovin good lovin all i need is lovin good lovin good good lovin baby good lovin good lovin good lovin good lovin all i need is lovin good lovin all i want is lovin good lovin lovin early in the morning good lovin lovin you late at night good lovin love love good lovin love love love love lovin
34,18,winchester cathedral,new vaudeville band,1966,winchester cathedral youre bringin me down you stood and you watched as my baby left town you couldve done something but you didnt try you didnt do nothing you let her walk by now everyone knows just how much i needed that gal she wouldnt have gone far away if only youd started ringing your bell winchester cathedral youre bringin me down you stood there and watched as my baby left town avodeeohdoe avodeeohdoe avodeeohdoedeeohdoe
35,19,hanky panky,tommy james and the shondells,1966,my baby does the hanky panky my baby does the hanky panky my baby does the hanky panky my baby does the hanky panky my baby does the hanky panky i saw her walking on down the line you know i saw her for the very first time a pretty little girl standing all alone hey baby can i take you home i never saw her never really saw her my baby does the hanky panky my baby does the hanky panky my baby does the hanky panky my baby does the hanky panky my baby does the hanky panky
36,20,when a man loves a woman,percy sledge,1966, when a man loves a woman cant keep his mind on nothing else hell trade the world for the good thing hes found if shes bad he cant see it she can do no wrong turn his back on his best friend if he put her downwhen a man loves a woman spend his very last dime trying to hold on to what he needs hed give up all his comfort sleep out in the rain if she said thats the way it ought to bewell this man loves a woman i gave you everything i had trying to hold on to your precious love baby please dont treat me badwhen a man loves a woman down deep in his soul she can bring him such misery if she plays him for a fool hes the last one to know loving eyes cant ever seewhen a man loves a woman he can do no wrong he can never own some other girl yes when a man loves a woman i know exactly how he feels cause baby baby baby youre my worldwhen a man loves a woman 
37,1,to sir with love,lulu,1967, those school girl days of telling tales and biting nails are gone but in my mind i know they will still live on and onbut how do you thank someone who has taken you from crayons to perfume it isnt easy but ill tryif you wanted the sky i would write across the sky in letters that would soar a thousand feet high to sir with lovethe time has come for closing books and long last looks must end and as i leave i know that i am leaving my best frienda friend who taught me right from wrong and weak from strong thats a lot to learn what can i give you in returnif you wanted the moon i would try to make a star but i would rather you let me give my heart to sir with love 
38,2,the letter,the box tops,1967, gimme a ticket for an aeroplane aint got time to take a fast train lonely days are gone im agoin home my baby justa wrote me a letteri dont care how much money i gotta spend got to get back to my baby again lonely days are gone im agoin home my baby justa wrote me a letterwell she wrote me a letter said she couldnt live without me no more listen mister cant you see i got to get back to my baby oncea more anyway yeahgimme a ticket for an aeroplane aint got time to take a fast train lonely days are gone im agoin home my baby justa wrote me a letterwell she wrote me a letter said she couldnt live without me no more listen mister cant you see i got to get back to my baby oncea more anyway yeahgimme a ticket for an aeroplane aint got time to take a fast train lonely days are gone im agoin home my baby justa wrote me a letter my baby justa wrote me a letter 
39,3,ode to billie joe,bobbie gentry,1967, it was the third of june another sleepy dusty delta day i was out choppin cotton and my brother was balin hay and at dinner time we stopped and walked back to the house to eat and mama hollered out the back door yall remember to wipe your feet and then she said i got some news this mornin from choctaw ridge today billy joe macallister jumped off the tallahatchie bridgeand papa said to mama as he passed around the blackeyed peas well billy joe never had a lick of sense pass the biscuits please theres five more acres in the lower forty ive got to plow and mama said it was shame about billy joe anyhow seems like nothin ever comes to no good up on choctaw ridge and now billy joe macallisters jumped off the tallahatchie bridgeand brother said he recollected when he and tom and billie joe put a frog down my back at the carroll county picture show and wasnt i talkin to him after church last sunday night ill have another piecea apple pie you know it dont seem right i saw him at the sawmill yesterday on choctaw ridge and now ya tell me billie joes jumped off the tallahatchie bridgeand mama said to me child whats happened to your appetite ive been cookin all morning and you havent touched a single bite that nice young preacher brother taylor dropped by today said hed be pleased to have dinner on sunday oh by the way he said he saw a girl that looked a lot like you up on choctaw ridge and she and billy joe was throwing somethin off the tallahatchie bridge 
40,4,windy,the association,1967,whos peekin out from under a stairway calling a name thats lighter than air whos bending down to give me a rainbow everyone knows its windy whos tripping down the streets of the city smilin at everybody she sees whos reachin out to capture a moment everyone knows its windy and windy has stormy eyes that flash at the sound of lies and windy has wings to fly above the clouds   above the clouds above the clouds   above the clouds and windy has stormy eyes that flash at the sound of lies and windy has wings to fly above the clouds   above the clouds above the clouds   above the clouds whos tripping down the streets of the city smilin at everybody she sees whos reachin out to capture a moment everyone knows its windy whos tripping down the streets of the city smilin at everybody she sees whos reachin out to capture a moment everyone knows its windy whos tripping down the streets of the city smilin at everybody she sees whos reachin out to capture a moment everyone knows its windy whos tripping down the streets of the city smilin at everybody she sees whos reachin out to capture a moment everyone knows its windy whos tripping down the streets of the city smilin at everybody she sees whos reachin out to capture a moment everyone knows its windy
41,5,im a believer,the monkees,1967,monkees miscellaneous im a believer im a believer       monkees i thought love was only true in fairy tales meant for someone else but not for me ah love was out to get to me thats the way it seems disappointment haunted all my dreams refrain then i saw her face now im a believer not a trace  of doubt in my mind im in love im a believer i couldnt leave her if i try i thought love was more or less a givin thing seemed the more i gave the less i got whats the use in trying all you get is pain when i needed sunshine i got rain refrain ah love was out to get to me now thats the way it semed disappointment haunted all my dreams refrain then i saw her face now im a believer not a trace  of doubt in my mind now im a believer yes im a believer yeah yeah yeah now im a believer 
